Candle Compra: 5574, Candle Venda: 5592, Horário Compra: 2024-01-04 20:54:00, Horário Venda: 2024-01-04 21:12:00, Preço Compra: 218400, Preço Venda: 218219, Percentual: -0.08%
Candle Compra: 5593, Candle Venda: 5611, Horário Compra: 2024-01-04 21:13:00, Horário Venda: 2024-01-04 21:31:00, Preço Compra: 218271, Preço Venda: 218291, Percentual: 0.01%
Candle Compra: 5624, Candle Venda: 5653, Horário Compra: 2024-01-04 21:44:00, Horário Venda: 2024-01-04 22:13:00, Preço Compra: 217872, Preço Venda: 218070, Percentual: 0.09%
Candle Compra: 5672, Candle Venda: 5673, Horário Compra: 2024-01-04 22:32:00, Horário Venda: 2024-01-04 22:33:00, Preço Compra: 217061, Preço Venda: 216843, Percentual: -0.1%
Candle Compra: 5674, Candle Venda: 5687, Horário Compra: 2024-01-04 22:34:00, Horário Venda: 2024-01-04 22:47:00, Preço Compra: 217096, Preço Venda: 215913, Percentual: -0.54%
Candle Compra: 5697, Candle Venda: 5716, Horário Compra: 2024-01-04 22:57:00, Horário Venda: 2024-01-04 23:16:00, Preço Compra: 214490, Preço Venda: 214748, Percentual: 0.12%
Candle Compra: 5733, Candle Venda: 5780, Horário Compra: 2024-01-04 23:33:00, Horário Venda: 2024-01-05 00:20:00, Preço Compra: 214829, Preço Venda: 215237, Percentual: 0.19%
Candle Compra: 5800, Candle Venda: 5802, Horário Compra: 2024-01-05 00:40:00, Horário Venda: 2024-01-05 00:42:00, Preço Compra: 215424, Preço Venda: 215224, Percentual: -0.09%
Candle Compra: 5813, Candle Venda: 5829, Horário Compra: 2024-01-05 00:53:00, Horário Venda: 2024-01-05 01:09:00, Preço Compra: 215179, Preço Venda: 214583, Percentual: -0.28%
Candle Compra: 5845, Candle Venda: 5926, Horário Compra: 2024-01-05 01:25:00, Horário Venda: 2024-01-05 02:46:00, Preço Compra: 214447, Preço Venda: 215750, Percentual: 0.61%
Candle Compra: 5939, Candle Venda: 5957, Horário Compra: 2024-01-05 02:59:00, Horário Venda: 2024-01-05 03:17:00, Preço Compra: 215785, Preço Venda: 215718, Percentual: -0.03%
Candle Compra: 5978, Candle Venda: 6010, Horário Compra: 2024-01-05 03:38:00, Horário Venda: 2024-01-05 04:10:00, Preço Compra: 215786, Preço Venda: 216310, Percentual: 0.24%
Candle Compra: 6027, Candle Venda: 6037, Horário Compra: 2024-01-05 04:27:00, Horário Venda: 2024-01-05 04:37:00, Preço Compra: 216842, Preço Venda: 216540, Percentual: -0.14%
Candle Compra: 6055, Candle Venda: 6069, Horário Compra: 2024-01-05 04:55:00, Horário Venda: 2024-01-05 05:09:00, Preço Compra: 216523, Preço Venda: 216369, Percentual: -0.07%
